author_sort,authors,series,series_index,title
"Snicket, Lemony","Lemony Snicket","A Series of Unfortunate Events","12.0","A Series of Unfortunate Events #12: The penultimate peril"
"Snicket, Lemony","Lemony Snicket","A Series of Unfortunate Events","13.0","A Series of Unfortunate Events #13: The End"
"Pullman, Philip","Philip Pullman","His Dark Materials","1.0","The Golden Compass"
"Pullman, Philip","Philip Pullman","His Dark Materials","2.0","The Subtle Knife"
"Puzo, Mario & Bart, Peter & Thompson, Robert J.","Mario Puzo, Peter Bart, Robert J. Thompson","The Godfather","1.0","The Godfather"
"Pynchon, Thomas","Thomas Pynchon","","1.0","V."
"Reingold, Daniel & Reingold, Jennifer","Daniel Reingold, Jennifer Reingold","","1.0","Confessions of a Wall Street Analyst: A True Story of Inside Information and Corruption in the Stock Market"
"Rice, Anne","Anne Rice","Vampire Chronicles","9.0","Blackwood Farm"
"Rice, Anne","Anne Rice","Vampire Chronicles","8.0","Blood and Gold"
"Rice, Anne","Anne Rice","Vampire Chronicles","10.0","Blood canticle"
"Roberts, Nora","Nora Roberts","Silhouette Intimate Moments","232.0","Irish Rose"
"Roberts, Nora","Nora Roberts","Irish Hearts","1.0","Irish Thoroughbred"
"Roberts, Nora","Nora Roberts","Irish Gallagher's Pub Trilogy","1.0","Jewels of the sun"
"Roberts, Nora","Nora Roberts","Key Trilogy","2.0","Key of knowledge"
"Roberts, Nora","Nora Roberts","Key Trilogy","1.0","Key of light"
"Roberts, Nora","Nora Roberts","Key Trilogy","3.0","Key of valor"
"Roberts, Nora","Nora Roberts","Love by Design: Jack's Stories","1.0","Lawless"
"Roberts, Nora","Nora Roberts","Love by Design: Jack's Stories","1.0","Loving Jack"
"Roberts, Nora","Nora Roberts","The Stanislaskis: Those Wild Ukrainians","2.0","Luring a Lady"
"Roberts, Nora","Nora Roberts","The Circle Trilogy","1.0","Morrigan's cross"
"Roberts, Nora","Nora Roberts","Night Tales","2.0","Night Shadow"
"Roberts, Nora","Nora Roberts","Night Tales","1.0","Night shift: Night shadow"
"Roberts, Nora","Nora Roberts","Night Tales","4.0","Night Smoke"
"Roberts, Nora","Nora Roberts","Night Tales","3.0","Nightshade: Night smoke"
"Roberts, Nora","Nora Roberts","The MacGregors","4.0","One Man's Art"
"Roberts, Nora","Nora Roberts","The MacGregors","6.0","Rebellion"
"Snicket, Lemony","Lemony Snicket","A Series of Unfortunate Events","1.0","A Series of Unfortunate Events #1: The bad beginning"
"Snicket, Lemony","Lemony Snicket","A Series of Unfortunate Events","8.0","A Series of Unfortunate Events #8: The Hostile Hospital"
"Snicket, Lemony & Helquist, Brett","Lemony Snicket, Brett Helquist","A Series of Unfortunate Events","2.0","A Series of Unfortunate Events #2: The Reptile Room"
"Snicket, Lemony & Helquist, Brett","Lemony Snicket, Brett Helquist","A Series of Unfortunate Events","3.0","A Series of Unfortunate Events #3: The Wide Window: Or, Disappearance!"
"Snicket, Lemony & Helquist, Brett","Lemony Snicket, Brett Helquist","A Series of Unfortunate Events","4.0","A Series of Unfortunate Events #4: The Miserable Mill"
"Snicket, Lemony & Helquist, Brett","Lemony Snicket, Brett Helquist","A Series of Unfortunate Events","5.0","A Series of Unfortunate Events #5: The Austere Academy"
"Snicket, Lemony & Helquist, Brett","Lemony Snicket, Brett Helquist","A Series of Unfortunate Events","6.0","A Series of Unfortunate Events #6: The Ersatz Elevator"
"Snicket, Lemony & Helquist, Brett","Lemony Snicket, Brett Helquist","A Series of Unfortunate Events","7.0","A Series of Unfortunate Events #7: The Vile Village"
"Snicket, Lemony & Helquist, Brett","Lemony Snicket, Brett Helquist","A Series of Unfortunate Events","9.0","A Series of Unfortunate Events #9: The Carnivorous Carnival"
"Sparks, Nicholas","Nicholas Sparks","","1.0","A Bend in the Road"
"Sparks, Nicholas","Nicholas Sparks","","1.0","A Walk to Remember"
"Sparks, Nicholas","Nicholas Sparks","Jeremy Marsh","2.0","At First Sight"
"Sparks, Nicholas","Nicholas Sparks","","1.0","Dear John"
"Sparks, Nicholas","Nicholas Sparks","","1.0","Message in a Bottle"
"Sparks, Nicholas","Nicholas Sparks","","1.0","Nights in Rodanthe"
"Sparks, Nicholas","Nicholas Sparks","The Calhoun Family","1.0","The Notebook"
"Sparks, Nicholas","Nicholas Sparks","Jeremy Marsh","1.0","True Believer"
"Rice, Anne","Anne Rice","Vampire Chronicles","5.0","Memnoch the Devil"
